名称 说明 
 书函 双击可以了解与任务相关的信息 
 尖钩 尖利的北海雪巨王的脚指甲 
 竹筒 盛水的器皿，可在黄金沙漠中的绿洲处灌水。补充活力。 
 大型竹筒 可在黄金沙漠中的绿洲处灌水。容量大于竹筒 
 东天王灵 杀死东天王时获取的物品 
 北霸王灵 杀死北霸王获取的物品 
 竹筐 存放万年雪参的筐 
 白桦树桩 环绕着神秘和灵验的气息 
 翡翠 散发着翠绿色光彩(攒齐翡翠、琥珀、水晶、珍珠，可使物品100%升级成功) 
 琥珀 散发着柔和的橘黄色光彩(攒齐翡翠、琥珀、水晶、珍珠，可使物品100%升级成功) 
 水晶 玻璃般透明光亮(攒齐翡翠、琥珀、水晶、珍珠，可使物品100%升级成功) 
 珍珠 散发着乳白色光(攒齐翡翠、琥珀、水晶、珍珠，可使物品100%升级成功) 
 抽屉钥匙 开启位于东海沼泽一草屋内的抽屉的钥匙 
 石窟钥匙 出入西域魔人石窟的钥匙 
 雪参 起死回生的灵药 
 雪参筐 装天下之灵药雪参的筐 
 小佛 用刚出世的婴儿血做成的佛像 
 帝王守护灵 南帝王的项链，有强大的魔力 
 西域牌 接受西域魔人密令之人持有的令牌 
 召唤符 放入香炉中可召灵 
 降魔符 用强大的魔法做成的，能突破阴阳界的符 
 葫芦瓶 西域魔人用过封印咒的瓶 
 侠客指环 会磨损，持有戒指时活力会增加10
指环已在物品栏时即使完成任务也无法获取 
 牌王 会磨损，持有戒指时活力会增加20
指环已在物品栏时即使完成任务也无法获取 

